Time(seconds)	Thrust_x (N)	Thrust_y (N)	Thrust_z (N)				
0	-0.077899994	-0.062379333	0.006356864				
417026.6985	-0.075293738	-0.065387402	0.00500221				
834053.3969	-0.072541107	-0.068290582	0.003693104				
1251080.095	-0.069642588	-0.071086726	0.002430476				
1668106.794	-0.066598528	-0.07377286	0.001215615				
2085133.492	-0.057260867	-0.081058725	-1.23E-05				
2502160.191	-0.04740857	-0.086977051	-0.002623432				
2919186.889	-0.036838551	-0.091708013	-0.00471727				
3336213.588	-0.025719826	-0.095180228	-0.006262992				
3753240.286	-0.005475767	-0.076294078	0.062286829				
4170266.985	0.002034978	-0.076414474	0.062109623				
4587293.683	0.009461028	-0.075395925	0.06242956				
5004320.381	0.016598506	-0.073268424	0.063232994				
5421347.08	-0.035647415	0.026035036	0.087546496				
5838373.778	-0.0445814	0.020158584	0.084793488				
6255400.477	-0.052353016	0.013062475	0.081506332				
6672427.175	-0.058766639	0.004933332	0.077768403				
7089453.874	-0.076132898	0.012980008	0.05943232				
7506480.572	-0.079503469	0.005200909	0.055859244				
7923507.271	-0.081914441	-0.002857034	0.052165717				
8340533.969	-0.08333986	-0.01109616	0.048395501				
8757560.668	-0.085464919	-0.017192932	0.042218481				
9174587.366	-0.085110188	-0.024509066	0.038850552				
9591614.064	-0.083998379	-0.031751772	0.035518191				
10008640.76	-0.082141704	-0.0388564	0.032250456				
10425667.46	-0.079194969	-0.043203309	0.033624613				
10842694.16	-0.07791165	-0.046200586	0.03218947				
11259720.86	-0.076489363	-0.049140613	0.030780545				
11676747.56	-0.074931138	-0.052018114	0.029400219				
12093774.26	-0.075586254	-0.053719313	0.023622843				
12510800.95	-0.074271988	-0.055672643	0.022661659				
12927827.65	-0.072895488	-0.057586456	0.021718456				
13344854.35	-0.07145817	-0.059459142	0.020793967				
13761881.05	-0.066450342	-0.062267309	0.027453082				
14178907.75	-0.065408172	-0.063403853	0.026848318				
14595934.45	-0.064341511	-0.064518973	0.026253328				
15012961.14	-0.063250884	-0.065612251	0.025668303				
15429987.84	-0.067497376	-0.065706541	0.008004948				
15847014.54	-0.065920707	-0.067169833	0.007273357				
16264041.24	-0.064304958	-0.06859342	0.006559609				
16681067.94	-0.062651318	-0.069976464	0.005864093				
17098094.64	-0.059071404	-0.072617314	0.008168526				
17515121.34	-0.057085387	-0.074086353	0.007425043				
17932148.03	-0.055054273	-0.075498441	0.006707048				
18349174.73	-0.05298001	-0.076852471	0.00601506				
18766201.43	-0.04583586	-0.081011863	0.007680492				
19183228.13	-0.039974279	-0.084023962	0.006198583				
19600254.83	-0.033872497	-0.086594089	0.004913561				
20017281.53	-0.02757027	-0.088706989	0.003832696				
20434308.22	-0.015015598	-0.090554014	0.013857669				
20851334.92	-0.004567799	-0.091634133	0.013180535				
21268361.62	0.005939004	-0.09142768	0.013079196				
21685388.32	0.016315846	-0.089941714	0.013552498				
22102415.02	0.032360055	-0.052059616	-0.068964643				
22519441.72	0.046877571	-0.044466741	-0.065672593				
22936468.42	0.059405558	-0.034373129	-0.061248848				
23353495.11	0.069434468	-0.022202831	-0.055876536				
23770521.81	0.047656776	0.014373821	-0.077025617				
24187548.51	0.050194715	0.023140626	-0.073008374				
24604575.21	0.050835947	0.032166282	-0.06885372				
25021601.91	0.049562511	0.041113889	-0.064712116				
25438628.61	0.080156212	0.0426077	-0.008291512				
25855655.3	0.071201446	0.056667704	-0.00176544				
26272682	0.05930978	0.068745481	0.003909516				
26689708.7	0.044982898	0.078345952	0.008502152				
27106735.4	0.035481211	0.08087098	0.020244515				
27523762.1	0.023343704	0.084551948	0.022136477				
27940788.8	0.010758822	0.086605816	0.023299181				
28357815.49	-0.002013454	0.086995126	0.023711352				
28774842.19	-0.008778062	0.087128294	0.02100899				
29191868.89	-0.016497022	0.085948085	0.020638776				
29608895.59	-0.024065821	0.084154546	0.019987989				
30025922.29	-0.031425777	0.081763466	0.019062748				
30442948.99	-0.032686564	0.079787523	0.024029302				
30859975.69	-0.034831333	0.078833382	0.023656986				
31277002.38	-0.036944766	0.077829019	0.023261293				
31694029.08	-0.03902544	0.076775303	0.022842588				
32111055.78	-0.040569565	0.06965895	0.037641554				
32528082.48	-0.043182986	0.068225366	0.03703616				
32945109.18	-0.04573776	0.066713825	0.036394313				
33362135.88	-0.048231068	0.065126341	0.03571687				
33779162.57	-0.050733987	0.057279676	0.04432485				
34196189.27	-0.054858577	0.054208009	0.042987342				
34613215.97	-0.058764965	0.050919112	0.041547204				
35030242.67	-0.062439241	0.047425951	0.040010041				
35447269.37	-0.066778131	0.05144904	0.02487705				
35864296.07	-0.070139295	0.047415734	0.023108354				
36281322.77	-0.073211575	0.043205852	0.021254118				
36698349.46	-0.075983642	0.038836657	0.019321966				
37115376.16	-0.078086088	0.037959786	0.009671938				
37532402.86	-0.080311128	0.033192141	0.007562704				
37949429.56	-0.082188896	0.028312349	0.005396069				
38366456.26	-0.083712469	0.023341454	0.003181457				
38783482.96	-0.084659112	0.013039931	0.014233361				
39200509.65	-0.085427258	0.008447409	0.012155614				
39617536.35	-0.085896672	0.003830787	0.010061345				
40034563.05	-0.086066633	-0.000793851	0.007957833				
40451589.75	-0.085703768	0.000461519	-0.010169638				
40868616.45	-0.085097799	-0.004988253	-0.012636014				
41285643.15	-0.084074879	-0.010374697	-0.015081516				
41702669.85	-0.082641318	-0.015671473	-0.017494071				
42119696.54	-0.081178675	-0.026348841	-0.008637568				
42536723.24	-0.079167034	-0.030885605	-0.010732912				
42953749.94	-0.076849079	-0.035289426	-0.012773707				
43370776.64	-0.074234881	-0.03954333	-0.014752077				
43787803.34	-0.07008308	-0.046467087	-0.014113091				
44204830.04	-0.066404757	-0.050772453	-0.016141014				
44621856.73	-0.062405491	-0.054821743	-0.018058865				
45038883.43	-0.05810623	-0.058595492	-0.019857432				
45455910.13	-0.051335444	-0.059982308	-0.030806436				
45872936.83	-0.04522461	-0.063666407	-0.032585109				
46289963.53	-0.038791498	-0.06684581	-0.03414109				
46706990.23	-0.03208564	-0.069498067	-0.035463268				
47124016.93	-0.025067096	-0.077475405	-0.021557765				
47541043.62	-0.020308894	-0.078553929	-0.022155166				
47958070.32	-0.015493851	-0.079373302	-0.022636131				
48375097.02	-0.01063887	-0.079931437	-0.0229994				
48792123.72	-0.002616957	-0.079432227	-0.0263353				
49209150.42	0.003538213	-0.079246058	-0.02638495				
49626177.12	0.009656213	-0.078646711	-0.02624664				
50043203.81	0.01570369	-0.077638688	-0.025921763				
50460230.51	0.02336925	-0.075033012	-0.027371054				
50877257.21	0.029125699	-0.07312146	-0.026630788				
51294283.91	0.034707346	-0.070833452	-0.025716583				
51711310.61	0.040084443	-0.068182519	-0.024633975				
52128337.31	0.047241448	-0.063955005	-0.022795794				
52545364.01	0.052812457	-0.059894132	-0.021081741				
52962390.7	0.057975515	-0.055420784	-0.019172869				
53379417.4	0.062693541	-0.05056938	-0.017084001				
53796444.1	0.067268299	-0.046346979	-0.009272754				
54213470.8	0.071092601	-0.040487207	-0.006722069				
54630497.5	0.074311294	-0.034346763	-0.004032275				
55047524.2	0.076899235	-0.0279779	-0.001226475				
55464550.89	0.079688974	-0.016917652	-0.006396351				
55881577.59	0.080980136	-0.009485141	-0.003075309				
56298604.29	0.081443121	-0.001989352	0.000290913				
56715630.99	0.081075726	0.005493199	0.003667856				
57132657.69	0.079844364	0.014249853	0.004319667				
57549684.39	0.077703234	0.021868959	0.00779716				
57966711.09	0.07468826	0.029219372	0.011171026				
58383737.78	0.070836245	0.036218636	0.014403366				
58800764.48	0.065948757	0.044539749	0.013571041				
59217791.18	0.059994618	0.051180881	0.016691461				
59634817.88	0.053232525	0.057124873	0.019513829				
60051844.58	0.045757896	0.062292079	0.022000334				
60468871.28	0.039101325	0.065752682	0.024211446				
60885897.97	0.031053628	0.069158603	0.025918374				
61302924.67	0.022645924	0.071721688	0.027252567				
61719951.37	0.013983121	0.073412812	0.028198754				
62136978.07	0.006758994	0.075595285	0.024504359				
62554004.77	-0.001661212	0.075677897	0.024730671				
62971031.47	-0.010038974	0.074945966	0.024588706				
63388058.17	-0.018279857	0.073410163	0.024081317				
63805084.86	-0.023172772	0.072875753	0.020884258				
64222111.56	-0.029273146	0.070746462	0.020074208				
64639138.26	-0.035154872	0.068168348	0.019057012				
65056164.96	-0.040778086	0.065160487	0.017840412				
65473191.66	-0.044482625	0.062974197	0.0162385				
65890218.36	-0.049135166	0.059619572	0.014851334				
66307245.05	-0.053492872	0.055960982	0.013320515				
66724271.75	-0.057531612	0.052020312	0.011655362				
67141298.45	-0.05994037	0.048420709	0.013992222				
67558325.15	-0.062720064	0.044987647	0.012526198				
67975351.85	-0.065267876	0.041416534	0.010992585				
68392378.55	-0.067575406	0.037720529	0.009397111				
68809405.25	-0.06948123	0.031050868	0.01635101				
69226431.94	-0.071445064	0.026924248	0.014542023				
69643458.64	-0.073118012	0.0227017	0.012682946				
70060485.34	-0.074494285	0.018400354	0.010781341				
70477512.04	-0.075421597	0.016151551	0.00605929				
70894538.74	-0.076234565	0.011795423	0.00412497				
71311565.44	-0.076747193	0.007410763	0.002170628				
71728592.13	-0.076958386	0.003014797	0.000203982				
72145618.83	-0.076123531	0.002258934	-0.010669821				
72562645.53	-0.075644325	-0.002719456	-0.012897709				
72979672.23	-0.074774422	-0.00764239	-0.015110086				
73396698.93	-0.07351953	-0.012484461	-0.0172954				
73813725.63	-0.07245389	-0.019538364	-0.014526978				
74230752.33	-0.070526967	-0.024004626	-0.016563776				
74647779.02	-0.068268186	-0.028328748	-0.018544845				
75064805.72	-0.06568939	-0.032490432	-0.020460804				
75481832.42	-0.062331565	-0.038137556	-0.020787472				
75898859.12	-0.058863707	-0.042143753	-0.022655791				
76315885.82	-0.055083741	-0.045895792	-0.024417788				
76732912.52	-0.051013366	-0.049373858	-0.026064073				
77149939.21	-0.045806205	-0.052513626	-0.029090332				
77566965.91	-0.041280386	-0.05527442	-0.03042231				
77983992.61	-0.036551253	-0.057722201	-0.031619084				
78401019.31	-0.031644365	-0.059845028	-0.032674707				
78818046.01	-0.024038119	-0.065506692	-0.027646712				
79235072.71	-0.017885144	-0.066983749	-0.028452032				
79652099.4	-0.011621467	-0.067975322	-0.029042878				
80069126.1	-0.005292673	-0.068475714	-0.029415641				
80486152.8	0.003518053	-0.068008526	-0.03045907				
80903179.5	0.010169992	-0.067286066	-0.030291496				
81320206.2	0.016719903	-0.066024259	-0.029880398				
81737232.9	0.023115372	-0.064234898	-0.029229824				
82154259.6	0.030941994	-0.057012673	-0.035920095				
82571286.29	0.036659283	-0.054129326	-0.034749801				
82988312.99	0.042071163	-0.050803325	-0.033374484				
83405339.69	0.04713625	-0.047062057	-0.031805424				
