Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
0                         7.058686505823871         0                         8000.000000000001         0                         0                         10 Oct 2022 00:00:00.000   
-0.3738998677316588       7.048788227558171         -1.927758465485418e-07    7988.780390192897         423.3232186049279         -6.38741715137328e-06     10 Oct 2022 00:01:00.000   
-0.9778886569323805       6.990695541884725         -2.825134689440751e-07    7922.939437250653         1107.139383629332         -3.146180687408613e-05    10 Oct 2022 00:02:37.353   
-1.678458121750584        6.856446160112903         -1.585111273969091e-07    7770.791327398955         1900.267088730998         -5.830710803772138e-05    10 Oct 2022 00:04:31.811   
-2.374266703917634        6.647856474157782         4.585299672990602e-08     7534.405353280506         2687.943800377098         -6.47111872717896e-05     10 Oct 2022 00:06:28.363   
-3.046342857435719        6.368282362572838         1.394307866889505e-07     7217.599922786495         3448.669280403243         -5.190712475255826e-05    10 Oct 2022 00:08:25.149   
-3.686254092848936        6.020948211824512         -5.560599604501652e-08    6824.048183922378         4172.879943452592         -4.341639886551473e-05    10 Oct 2022 00:10:21.955   
-4.287058668710346        5.609580581454844         -6.873071956987702e-07    6357.995180605513         4852.705386457167         -8.195189497242298e-05    10 Oct 2022 00:12:18.755   
-4.842363963003398        5.138541709828837         -1.861395511307314e-06    5824.407954787118         5480.902977241877         -0.0002251433466700373    10 Oct 2022 00:14:15.546   
-5.34626369684629         4.612827614512668         -3.631577082449972e-06    5228.972090042676         6050.787174164595         -0.0005399866131687559    10 Oct 2022 00:16:12.325   
-5.79339899010595         4.038014166293062         -5.993674575976371e-06    4578.029275074718         6556.298732745491         -0.001096379602283065     10 Oct 2022 00:18:09.091   
-6.179011751202599        3.420201197692767         -8.884055520651614e-06    3878.512668494706         6992.064961326975         -0.001960222049566135     10 Oct 2022 00:20:05.842   
-6.498999160689234        2.765941003909331         -1.218256171466077e-05    3137.864666343028         7353.460942805952         -0.003186612330018155     10 Oct 2022 00:22:02.578   
-6.749950161332121        2.082181350291531         -1.571961774333328e-05    2363.971210047383         7636.650174690816         -0.004813611298554732     10 Oct 2022 00:23:59.298   
-6.929185879426551        1.376192405623926         -1.928716573600508e-05    1565.078039390577         7838.629435392812         -0.006857075333689703     10 Oct 2022 00:25:55.999   
-7.034795187779663        0.6554555342812768        -2.26527664266332e-05     749.6639766657195         7957.267923884432         -0.009307080089535288     10 Oct 2022 00:27:52.684   
-7.065641732929461        -0.07235777310112568      -2.557521240360227e-05    -73.58358620382145        7991.314067861264         -0.01212581801503076      10 Oct 2022 00:29:49.349   
-7.021386864287561        -0.7995196116738382       -2.78215082689794e-05     -895.9204237367192        7940.420075749669         -0.01524775247737417      10 Oct 2022 00:31:45.997   
-6.902490044971554        -1.518293904084322        -2.918306393475192e-05    -1708.600255642447        7805.141030284552         -0.01858142639690511      10 Oct 2022 00:33:42.625   
-6.710206916743813        -2.221031885891027        -2.949053598455881e-05    -2502.982697209621        7586.931235899459         -0.02201326038635005      10 Oct 2022 00:35:39.234   
-6.446572267761185        -2.900262974869386        -2.862594665743021e-05    -3270.635684583647        7288.123510933876         -0.02541293124913655      10 Oct 2022 00:37:35.823   
-6.114379709087841        -3.548762964596401        -2.653128109894315e-05    -4003.411973429272        6911.904854174467         -0.02863985417017628      10 Oct 2022 00:39:32.395   
-5.717160138046389        -4.159621497344845        -2.321311583524214e-05    -4693.524554001416        6462.290864955586         -0.03155043458797896      10 Oct 2022 00:41:28.948   
-5.259125187307032        -4.72634766220607         -1.874266145815733e-05    -5333.664876567009        5944.06073609531          -0.0340057925901409       10 Oct 2022 00:43:25.485   
-4.745151148842812        -5.242897256074051        -1.325189292139269e-05    -5917.032356502429        5362.738325904098         -0.03587889894406586      10 Oct 2022 00:45:22.005   
-4.180702334544383        -5.70377299554391         -6.925275385420204e-06    -6437.446131138056        4724.504999924528         -0.03706135392046182      10 Oct 2022 00:47:18.509   
-3.571779997755646        -6.104070142280529        1.150462445576737e-08     -6889.395061137328        4036.141753056696         -0.03746878723415945      10 Oct 2022 00:49:15.000   
